Name,Category,Description,Price / Retail Price,Duration (min)
Classic Cut |U-CUT|Straight Cut,Hair,,500,35
Fringe | Bangs,Hair,,350,25
Layer Cut,Hair,,800,45
Styling by a Senior Stylist,Hair,,1200,60
Kids Cut,Hair,For kids below 10 years.,400,45
Hair Wash (Blast Dry),Hair,,500,45
Blow Dry (M|L),Hair,,900 | 1200,65
Curly Hair Styling,Hair,,1000,45
Tongs |Ironing |Crimping,Hair,,1000 | 1500,90
Bond Straightener,Hair,"With Hair Color, Smoothening, or Straightening options.",1000,180
Global + Highlights,Hair,"10 or 20 Foils. Gives full-head color with stylish highlights, adding depth, dimension and a modern vibrant finish to the hair.",7000 | 11000,120
Highlights( Per Streak),Hair,,750,120
Smoothening (S|M|L),Hair,,8000 | 9000 | 10000,
Straightening (S|M|L),Hair,,8000 | 9000 | 10000,
Keratin (S |M|L),Hair,,8000 | 9000 | 10000,
Botox,Hair,,10000 | 11000 | 12000,
Re-Growth | Partial Straightening (S|M|L),Hair,,5000,
Root Retouch,Hair,"Ammonia or Ammonia Free options. Covers grey roots seamlessly, blends with existing hair color, and restores a fresh, well-groomed look.",1300 | 1800,
Global Base Color Ammonia (S|M),Hair,,3600 | 4600,
Global Base Color Ammonia Free (S|M),Hair,,5000 | 6000,
Global Fashion Color (S|M|L),Hair,"Covers grey roots seamlessly, blends with existing hair color, and restores a fresh, well-groomed look.",5000 | 5600 | 6200,
Direct Highlights (10|20foils),Hair,,4000 | 7000,
Pre Lightened Highlights,Hair,10 or 20 foils options.,6000 | 10000,
Ombre,Hair,"Blends shades seamlessly from dark to light, creating a bold yet elegant look with depth, movement and a modern finish. Available in S, M, L sizes.",10000,
Eyebrow | Upperlip |Lower Lip,Hair,,50,
Chin |Forehead,Hair,,50,
Face Sides,Hair,,100,
Full Face,Hair,,250,
Upper Lips,Skin,,150,
Underarms,Skin,,250,
Feet,Skin,,400,
Face & Neck,Skin,,600,
"Face , Neck & Blouseline",Skin,,800,
Midriff| Back,Skin,,700 | 800,
Half |Full Arms,Skin,,600 | 800,
Half |Full Legs,Skin,,700 | 900,
Full Body,Skin,,3500,
Half| Full Arms,Hair,,400 | 500,
Half | Full Legs,Hair,,500 | 700,
Full Back |Midriff,Hair,,1500,
Full Body,Hair,,4500,
Half |Full Arms,Hair,,600 | 800,
Half | Full Legs,Hair,,700 | 900,
Full Back Midriff,Hair,,2000,
Full body,Hair,,6000,
Upper Lip | Chin,Hair,,150,
Underarms,Hair,,250,
Neck,Hair,,400,
Face,Hair,,600,
Bikini Line,Hair,,1200,
Full Bikini,Hair,,3000,
Underarms,Hair,,2000,
Legs Half,Hair,,4500,
Legs Full,Hair,,9000,
Full Face,Hair,,4500,
express facial,Skin,,1000,
fruit glow,Skin,,1200,
pure choco radiance,Skin,,1500,
acne controle therapy,Skin,,1700,
No-tan,Skin,,1800,
sensi bright,Skin,,2000,
golden bliss,Skin,,2000,
brightening bliss,Skin,,3500,
Hydra Facial,Skin,Available in Hydration or Derma Bright options.,5000,
radiance bliss,Skin,,5500,
D-tan face mask sheet,Skin,,450,
korean glass glow,Skin,,250,
hyalluronic acid,Skin,,350,
hydra facial sheet mask,Skin,,550,
Un Mask Pearl + Hyaluronic Acid,Skin,For glowing and moisturised skin.,450,
Un Mask Peptides + Goji Berry,Skin,For firm and lifted skin.,480,
underarm\neck\elbow,Skin,,1000,
under eye,Skin,,1000,
cocoa butter,Skin,,650 | 850,
coffe & cream,Skin,,800 | 1000,
dead sea,Skin,,1000 | 1300,
crystal spa,Skin,,1200 | 1500,
organic spa mani&padi (combo),Skin,,2200,
heel peel treatment,Skin,,2500,
change of nail color,Nail,,100,
"cut, file & polish",Nail,,2500,
gel polish,Nail,,700,
gel polish removal,Nail,,300,
Whole Back | Full Arms | Full Legs,Skin,,2000,
hands,Skin,,500,
feet,Skin,,800,
neck and shoulder,Skin,,1500,
balayage hair color,Hair,,10000,
collagen peptide facial,Skin,,4500,
ice cream mani and padi (combo),Skin,,2500,
